City,Latitude,Longitude
Mecheria,33.549999,-0.283333.
Hamma,36.784786,3.066483
Kerrada,36.063090,0.389685
Jijel,36.7999968,5.7666636
Orano,35.602073,-0.584303
Taksebt,36.766667,4.633333
Chacayes,-34.251764,-70.669524
INGA,-5.499998,13.6249975
COPENAGHEN,55.67610,12.56834
ILOPANGO,13.68682,-89.11818
Boke,11.18647,-14.10013
Гондурас,13.536907,-87.485161
Balambano,-2.644133,121.220459
JONICA NATIONAL ROAD,39.600023,16.514752
Санкт-Петербург,59.938,30.314
Стамбул,41.0138,28.9496
Гебзе,40.48,29.25
Алиага,38.4759, 26.58
Анкара,39.5511,32.5115
Орду,40.5840,37.5325
Анталья,36.5429,30.4144
Кютахья,39.2527,29.5859
Афьон-Карахисар,38.4524,30.3235
Ушак,38.4024,29.2420
Измир,38.2445,27.0818
Сакарья,39.3011,32.0432
Бодрум,37.0217,27.2545

