City,Population,Latitude,Longitude
moscow,10381288,55.752222,37.615556
seoul,10323448,37.5985,126.9783
kiev,2514227,50.433333,30.516667
faisalabad,2507302,31.416667,73.083333
izmir,2501895,38.412726,27.138376
lakhnau,2472250,26.85,80.916667
gizeh,2443490,30.0086111,31.2122222
fortaleza,2416920,-3.316667,-41.416667
cali,2392897,3.437222,-76.5225
surabaya,2374920,-7.249167,112.750833
belo horizonte,2373255,-19.916667,-43.933333
mashhad,2307254,36.297,59.6062
nagpur,2228191,21.15,79.1
harare,2213701,-17.8177778,31.0447222
brasilia,2207812,-15.783333,-47.916667
santo domingo,2202016,18.4666667,-69.9
nagoya,2191291,35.180198,136.906739
aleppo,2139878,36.2027778,37.1586111
paris,2110694,48.866667,2.333333
jinan,2069266,36.668333,116.997222
tangshan,2054526,37.3325,114.701389
dalian,2035307,38.912222,121.602222
