City,Latitude,Longitude
moscow,55.752222,37.615556
seoul,37.5985,126.9783
kiev,50.433333,30.516667
faisalabad,31.416667,73.083333
izmir,38.412726,27.138376
lakhnau,26.85,80.916667
gizeh,30.0086111,31.2122222
fortaleza,-3.316667,-41.416667
cali,23928972,-76.5225
surabaya,-7.249167,112.750833
belo horizonte,-19.916667,-43.933333
mashhad,36.297,59.6062
nagpur,21.15,79.1
harare,-17.8177778,31.0447222
brasilia,-15.783333,-47.916667
santo domingo,18.4666667,-69.9
nagoya,35.180198,136.906739
aleppo,36.2027778,37.1586111
paris,48.866667,2.333333
jinan,36.668333,116.997222
tangshan,37.3325,114.701389
dalian,38.912222,121.602222
