City,Latitude,Longitude
Mecheria,33.549999,-0.283333.
Hamma,36.784786,3.066483
Kerrada,36.063090,0.389685
Jijel,36.7999968,5.7666636
Orano,35.602073,-0.584303
Taksebt,36.766667,4.633333
Chacayes,-34.251764,-70.669524
INGA,-5.499998,13.6249975
Копенгаген,55.67610,12.56834
ILOPANGO,13.68682,-89.11818
Boke,11.18647,-14.10013
Гондурас,13.536907,-87.485161
Balambano,-2.644133,121.220459
JONICANATIONALROAD,39.600023,16.514752
Санкт-Петербург,59.938,30.314
Стамбул,41.0138,28.9496
Гебзе,40.48,29.25
Алиага,38.4759,26.58
Анкара,39.5511,32.5115
Орду,40.5840,37.5325
Анталья,36.5429,30.4144
Кютахья,39.2527,29.5859
Афьон-Карахисар,38.4524,30.3235
Ушак,38.4024,29.2420
Измир,38.2445,27.0818
Сакарья,39.3011,32.0432
Бодрум,37.0217,27.2545
Битлис,38.2404,42.0628
Агры,39.4309,43.0305
Шанлыурфа,37.0930,38.4730
Эрзинджан,39.2657,38.3122
Никсар,40.3530,36.5706
Трабзон,41.0018,39.4336
Болонья,44.2937,11.2019
Тоскана,43.4645,11.1446
Милан,45.2751,9.1122
Кальяри,39.1349,9.0709
Неаполь,40.5122,14.1447
Венеция,45.2613,12.1957
Брешия,45.3208,10.1252
Рим,41.5330,12.3040
Турин,45.0413,7.4112
Пескара,42.2730,14.1210
Port,42.0535,11.4748
Прато,43.5249,11.0549
Координаты,45.048625,6.84939
L'Aquila,42.419817,13.517259
Фишано,40.46,14.48
Пётркув-Трыбунальский,51.2419,19.4211
Ра́ва-Мазове́цкая,51.4551,20.1517
Варшава,52.1347,21.0042
Бухарест,44.2556,26.0622
Куртичи,46.2100,21.1800
Симерия,45.510,23.036
Женева,46.1207,6.0844
Варна,43.1300,27.5500
Бургас,42.3021,27.2804
Индонезия,02.3838,121.1313
Ява,7.300,111.1547
Янбу,24.0500,38.0000
Ad-Daẖirah,25.882902,51.556593
Chacayes,-34.251764,-70.669524
Santiago,-33.459019,-70.667534
С1,-24.589123,-70.191898
Сан-Сальвадор,13.4121,-89.1113
CONCEPCIÓN,13.5922,-87.1546
NACAOME,13.4120,-87.2146
Diriamba,11.5100,-86.1400
Лима,12.0235,-77.0141
Уанса,11.3924,-76.3012
Пьюра,5.1140,-80.3758
Каракас,10.2916,-66.5245
Чагуарамас,10.41,-61.38
Пуэрто-кабелло,10.2813,-68.0146
Канада,56.0622,-108.1446
США,26.4200,-80.0300
