country	temperature
AFG	1292
AGO	2151
ALB	1127
ARE	2683
ARG	1422
ARM	67
ATA	44
ATF	5
AUS	251
AUT	69
AZE	122
BDI	227
BEL	91
BEN	246
BFA	218
BGD	247
BGR	140
BHS	206
BIH	92
BLR	69
BLZ	206
BOL	298
BRA	292
BRN	293
BTN	88
BWA	248
CAF	284
CAN	14
CHE	45
CHL	87
CHN	63
CIV	230
CMR	253
COD	204
COG	252
COL	240
COM	299
CRI	285
CUB	213
CYP	171
CZE	77
DEU	80
DJI	264
DNK	72
DOM	293
DZA	258
ECU	233
EGY	212
ERI	207
ESH	239
ESP	103
EST	53
ETH	237
FIN	15
FJI	237
FLK	59
FRA	154
GAB	200
GBR	81
GEO	76
GHA	225
GIN	255
GLP	202
GMB	277
GNB	261
GNQ	213
GRC	166
GRL	4
GTM	207
GUF	262
GUY	280
HND	239
HRV	147
HTI	248
HUN	106
IDN	272
IND	295
IRL	91
IRN	193
IRQ	258
ISL	15
ISR	170
ITA	150
JAM	247
JOR	135
JPN	136
KAZ	59
KEN	250
KGZ	19
KHM	294
KOR	166
KOS	95
KSV	82
KWT	215
LAO	222
LBN	161
LBR	225
LBY	290
LKA	276
LSO	197
LTU	64
LUX	88
LVA	53
MAR	123
MDA	97
MDG	201
MEX	254
MKD	95
MLI	230
MMR	296
MNE	71
MNG	50
MOZ	269
MRT	269
MUS	213
MWI	298
MYS	214
NAM	204
NCL	296
NER	224
NGA	278
NIC	259
NLD	90
NOR	5
NPL	174
NZL	98
OMN	245
PAK	198
PAN	272
PER	146
PHL	233
PNG	205
POL	77
PRI	228
PRK	46
PRT	197
PRY	248
PSE	1
QAT	292
REU	208
ROU	81
RUS	32
RWA	101
SAU	265
SDN	282
SDS	24
SEN	287
SJM	14
SLB	268
SLE	204
SLV	277
SOM	277
SRB	118
SSD	293
SUR	277
SVK	77
SVN	84
SWE	15
SWZ	241
SYR	165
TCD	25
TGO	20
THA	25
TJK	3
TKM	122
TLS	297
TTO	2586
TUN	1936
TUR	193
TWN	22
TZA	231
UGA	260
UKR	81
URY	1757
USA	675
UZB	1252
VCT	2682
VEN	2532
VIR	2574
VNM	2407
VUT	2384
YEM	2316
ZAF	17
ZMB	21
ZWE	21
